دست,بازیکن,کارت‌های دست بازیکن,کارت‌های بازی‌شده,خال حکم,کارت بازی‌شده توسط بازیکن,برنده دست
1,0,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,6 خشت,0
1,1,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,شاه دل,0
1,2,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,3 خشت,0
1,3,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,آس خشت,0
2,0,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,2 گشنیز,1
2,1,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,5 گشنیز,1
2,2,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,آس دل,1
2,3,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,10 خشت,1
3,0,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,8 گشنیز,0
3,1,,"6 خشت, شاه دل, 3 خشت, آس خشت, 2 گشنیز, 5 گشنیز, آس دل, 10 خشت, 8 گشنیز, 2 خشت, 7 پیک, 4 خشت, 9 خشت, 9 گشنیز, آس پیک, ملکه خشت, 9 پیک, سرباز گشنیز, 7 گشنیز, 5 دل, 7 دل, 2 دل, 10 دل, ملکه پیک, 4 پیک, شاه گشنیز, 6 گشنیز, سرباز پیک, 7 خشت, 5 پیک, 10 گشنیز, 6 پیک, 3 دل, 4 دل, 3 پیک, 8 دل, 4 گشنیز, شاه خشت, 5 خشت, ملکه گشنیز, 8 خشت, سرباز دل, شاه پیک, 9 دل, 10 پیک, 6 دل, 2 پیک, سرباز خشت, 3 گشنیز, ملکه دل, 8 پیک, آس گشنیز",خشت,2 خشت,0
